Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes
Delta House floating production platform spill,"United States, Gulf of Mexico, near Louisiana",11 October 2017 - 12 October 2017,"1,080","1,280",LLOG Exploration,,"bad website, presumed privately held"
Agia Zoni II,"Greece, Saronic Gulf, Salamis",10-Sep-17,"2,500","2,500",Fos Petroleum SA,,presumed privately held
East River insulating oil spill,"United States, New York",7-May-17,97,101,Con Edison,ED,
Energy Transfer Partners Dakota Access Pipeline Leak,"United States, North Dakota",4-Apr-17,0.27,0.27,Energy Transfer Partners,SEMG,SEMG prior to merger
Ennore oil spill,"India, Chennai, Ennore Port",28-Jan-17,251,251,Darya Shipping Solutions,,privately held
Belle Fourche pipeline leak,"United States, North Dakota, Billings County, Ash Coulee Creek",5-Dec-16,571,571,Belle Fourche Pipeline Company,,privately held
Fox Creek pipeline leak,"Canada, Alberta, Fox Creek",6-Oct-16,240,240,Trilogy Energy,TSX:TET,
"BP Clair production platform, North Sea","United Kingdom, Shetland, Clair platform",2-Oct-16,105,105,BP,BP,privately held
2016 Colonial Pipeline Leak,"United States, Shelby County, Alabama",12-Sep-16,"1,092","1,092",Colonial Pipeline Co,,
North Battleford pipeline spill,"Canada, Saskatchewan, North Battleford",21-Jul-16,170,210,Husky Energy,HSE.TO,
ConocoPhillips Canada pipeline spill,"Canada, Alberta, Grande Cache",9-Jun-16,323,323,ConocoPhillips,COP,
2016 Union Pacific oil train fire,"United States, Oregon, Mosier",3-Jun-16,152,152,Union Pacific Railroad,UNP,
Denbury Resources Bowman County Oil SPill,"United States, North Dakota Bowman County",18-May-16,44,44,Denbury Resources,DNR,
"Shell Gulf of Mexico oil spill, Brutus offshore platform","United States, Gulf of Mexico, near Louisiana",12-May-16,316,316,Royal Dutch Shell,RDS-A,"RDS-B based in UK, so A series utilized"
Keystone Pipeline 2016 spill,"United States, Menno, South Dakota",2-Apr-16,55,55,TransCanada Corporation,TRP,
Refugio oil spill,"United States, California, near Refugio State Beach",19-May-15,330,330,Plains All American Pipeline,PAA,
MV Marathassa bunker fuel spill,"Canada, British Columbia, English Bay (Vancouver)",13-Apr-15,2.3,2.3,Alassia NewShips Management Inc.,,privately held
Illinois train derailment,"United States, Illinois, near Galena",5-Mar-15,"1,300","1,300",BNSF Railway,,privately held
2015 Yellowstone River oil spill,"United States, Montana, near Glendive",17-Jan-15,41,160,Bridger Pipeline LLC,,privately held
Black Sea oil pipeline spill,"Russia, Tuapse, near Black Sea",24-Dec-14,unknown,unknown,Transneft,TRNFP.ME,
Trans-Israel Pipeline,"Israel, Eilat, Trans-Israel pipeline",6-Dec-14,"1,948","4,300",Eilat Ashkelon Pipeline Company,,privately held
Mid-Valley Pipeline,"United States, Louisiana, Mooringsport",13-Oct-14,546,546,Sunoco,SUN,
Lake Michigan oil spill,"United States, Indiana, Whiting refinery",24-Mar-14,2,5,BP,BP,
MV Miss Susan/MV Summer Wind,"United States, Texas, Houston Ship Channel",22-Mar-14,546,546,Kirby Corporation,KEX,
North Dakota pipeline spill,"United States, North Dakota, Hiland",21-Mar-14,110,110,Hiland Crude LLC,,privately held
North Dakota train collision,"United States, North Dakota, Casselton",30-Dec-13,"1,300","1,300",BNSF Railway,,privately held
Bullenbaai,"CuraÃ§ao, Bullenbaai, Isla refinery",1-Nov-13,unknown,unknown,PetrÃ³leos de Venezuela,,state run
North Dakota pipeline spill,"United States, North Dakota, Tioga",25 September 2013 - 29 September 2013,"2,810","2,810",Tesoro,TSO,
Rayong oil spill,"Thailand, Rayong/Ko Samet, Gulf of Thailand",27-Jul-13,43,163,PTT Global Chemical,PTTGC.BK,
Lac-MÃ©gantic derailment,"Canada, QuÃ©bec, Lac-MÃ©gantic",6-Jul-13,"4,830","4,830",,,train derailment
Cushing storage terminal,"United States, Oklahoma, Cushing",18-May-13,340,340,Enbridge Energy Partners,EEP,
Mayflower,"United States, Arkansas, Mayflower",30-Mar-13,680,950,ExxonMobil,XOM,
Magnolia refinery,"United States, Arkansas, Magnolia",9-Mar-13,680,760,Delek Logistics,DKL,
Bullenbaai,"CuraÃ§ao, Bullenbaai",7-Nov-12,unknown,unknown,PetrÃ³leos de Venezuela,,state run
Arthur Kill storage tank diesel spill (Hurricane Sandy),"United States, New Jersey, Sewaren",29-Oct-12,"1,090","1,130",Exxon,XOM,
CuraÃ§ao,"CuraÃ§ao, Isla refinery and Jan Kok nature preserve",17-Aug-12,unknown,unknown,PetrÃ³leos de Venezuela,,state run
"Sundre, Alberta","Canada, Sundre",8-Jun-12,410,410,,PAA,Plains Mainstream Canada indirect subsidiary of PAA
Guarapiche River,"Venezuela, MaturÃ­n, Monagas",4-Feb-12,680,"41,000",PDVSA,,state run
Nigeria,"Nigeria, Bonga Field",21-Dec-11,"5,500","5,500",Royal Dutch Shell,RDS-A,
TK Bremen,"France, Brittany, Erdeven",16-Dec-11,220,220,Blue Atlantic Shipping,,privately held
Campos Basin,"Brazil, Campos Basin, Frade Field",7 November 2011 - 15 November 2011,89,400,Chevron Corporation,CVX,
Rena oil spill,"New Zealand, Tauranga, Bay of Plenty",5 October 2011 - August 2012,350,350,Costamare,CMRE,
"Gannet Alpha platform, North Sea","United Kingdom, North Sea, Gannet Alpha platform",10 August 2011 - 13 August 2011,216,216,Royal Dutch Shell,RDS-A,
Yellowstone River,"United States, Billings, Montana, Yellowstone River",1-Jul-11,105,140,ExxonMobil,XOM,
Bohai Bay oil spill,"China, Bohai Bay",4 June 2011 - 19 June 2011,204,204,ConocoPhillips,COP,
Little Buffalo oil spill,"Canada, Alberta",29-Apr-11,"3,800","3,800",Plains All American Pipeline,PAA,
Mumbai-Uran pipeline spill,"India, Mumbai, Arabian Sea",21-Jan-11,40,55,,ONGC.NS,
Fiume Santo power station,"Italy, Sardinia, Porto Torres",11-Jan-11,15,15,,,coal plant?
Mumbai oil spill / MV MSC Chitra and MV Khalijia 3,"India, Mumbai, Arabian Sea",7 August 2010 - 9 August 2010,400,800,,,ship collision
Barataria Bay oil spill,"United States, Barataria Bay, Gulf of Mexico",27 July 2010 - 1 August 2010,23,45,Cedyco Corp.,,privately held
Kalamazoo River oil spill,"United States, Kalamazoo River, Calhoun County, Michigan",26-Jul-10,"2,800","3,250",Enbridge,EEP,
Xingang Port oil spill,"China, Yellow Sea",16 July 2010 - 21 July 2010,"1,500","90,000",,,
Jebel al-Zayt oil spill,"Egypt, Red Sea",16 June 2010 - 23 June 2010,unknown,unknown,,,NMAR - uknown source and amount
Red Butte Creek oil spill,"United States, Salt Lake City, Utah",11 June 2010 - 12 June 2010,65,107,,,NMAR- pipeline spill with disputed liability between Rocky Mountain Power and Chevron
Trans-Alaska Pipeline,"United States, Anchorage, Alaska",25-May-10,400,"1,200",,TRP,
MTÂ Bunga Kelana 3,"Singapore, Singapore Strait",25-May-10,"2,000","2,500",,,privately held
ExxonMobil,"Nigeria, Niger Delta",1-May-10,"3,246","95,500",ExxonMobil,XOM,
Deepwater Horizon,"United States, Gulf of Mexico",20 April 2010 - 15 July 2010,"492,000","627,000",BP,BP,
Great Barrier Reef / MVÂ Shen Neng 1,Australia Great Keppel Island,3-Apr-10,3,4,Shenzhen Energy,000027.SZ,
Lambro and Po rivers,"Italy, Lombardy, Monza",23-Feb-10,15,15,,,NMAR- industrial sabotage 
Port Arthur oil spill,"United States, Port Arthur, Texas",23-Jan-10,"1,500","1,500",,,ship collision
Yellow River oil spill,"China, Chishui River (Shaanxi)",5-Jan-10,130,130,,,state run - China National Petroleum Corporation
Montara oil spill,"Australia, Timor Sea",21-Aug-09,"4,000","30,000",PTT Exploration and Production,,state run  
Full City,"Norway, Rognsfjorden near SÃ¥stein south of Langesund",31-Jul-09,200,200,COSCO,CICOY,
Lüderitz oil spill,"Namibia, Southern coast",8-Apr-09,unknown,unknown,unknown,,residual oil from sunken vessel
Pacific Adventurer,"Australia, Queensland",10-Mar-09,230,260,Swire Shipping,,NMAR- corporate structure too complex to determine which subsidiary responsible
West Cork oil spill,"Ireland, Southern coast",9-Feb,300,300,,,Russian navy refueling incident
2008 New Orleans oil spill,"United States, New Orleans, Louisiana",28-Jul-08,"8,800","8,800",,,ship collision 
Shell Bodo pipeline oil spill,Nigeria,1-Aug-08,"1,000","1,000",Royal Dutch Shell,RDS-A,
Syros / Seabird collision,"Uruguay, near the Rio de la Plata, Montevideo",4-Jun-08,140,140,,,NMAR- information unclear
Supe,"Peru, off Zorritos",31-Jan-08,35,35,,,
Statfjord oil spill,"Norway, Norwegian Sea",12-Dec-07,"4,000","4,000","Statoil Petroleum, ExxonMobil, Centrica",,NMAR- complex facts and multiple parties - tanker filling accident
Korea oil spill,"South Korea, Yellow Sea",7-Dec-07,"10,800","10,800",,,ship collision
Kerch Strait oil spill,"Ukraine Â Russia, Strait of Kerch",11-Nov-07,"1,000","1,000",,,NMAR - multiple ship sinkings - Russian state owned?
COSCO Busan oil spill,"United States, San Francisco, California",7-Nov-07,188,188,,,privately held
Kab 101,"Mexico, Bay of Campeche",23 October 2007 - 17 December 2007,"1,869","1,869",,,state run
Genmar Progress Spill,"Puerto Rico, Guayanilla, Puerto Rico",30-Aug-07,151,151,General Maritime Corporation (GMC) Progress LLC,,privately held
Burnaby spill,"Canada, Burnaby, British Columbia",24-Jul-07,201,201,Kinder Morgan Energy Partners,KMI,
Guimaras oil spill,"Philippines, Guimaras Strait",11-Aug-06,172,"1,540",,PETZF,"tanker sinking, chartered by Petron Corp"
Jiyeh power station oil spill,Lebanon,14 July 2006 - 15 July 2006,"20,000","30,000",,,NMAR - power station struck during military action
Citgo refinery,"United States, Lake Charles, Louisiana",19-Jun-06,"6,500","6,500",,,privately held
Prudhoe Bay oil spill,"United States, Alaska North Slope, Alaska",2-Mar-06,653,689,,BP,subsidiary of BP accepted liability
Eider,"Chile, Antofagasta",31-Oct-05,200,200,,,"NMAR - details unclear, privately held?"
Bass Enterprises Oil Spill (Hurricane Katrina),"United States, Cox Bay, Louisiana",30-Aug-05,"12,000","12,000",,,
Shell (Hurricane Katrina),"United States, Pilottown, Louisiana",30-Aug-05,"3,400","3,400",Royal Dutch Shell,RDS-A,
Chevron (Hurricane Katrina),"United States, Empire, Louisiana",30-Aug-05,"3,200","3,200",,CVX,
Murphy Oil USA refinery spill (Hurricane Katrina),"United States, Meraux and Chalmette, Louisiana",30-Aug-05,"2,660","3,410",,MUR,
Bass Enterprises (Hurricane Katrina),"United States, Pointe Ã la Hache, Louisiana",30-Aug-05,"1,500","1,500",,,privately held
Chevron (Hurricane Katrina),"United States, Port Fourchon, Louisiana",30-Aug-05,170,170,,CVX,
Venice Energy Services Company (Hurricane Katrina),"United States, Venice, Louisiana",30-Aug-05,81,81,,,privately held
Shell Pipeline Oil (Hurricane Katrina),"United States, Nairn, Louisiana",30-Aug-05,44,44,Royal Dutch Shell,RDS-A,
Sundown Energy (Hurricane Katrina),"United States, West Potash, Louisiana",30-Aug-05,42,42,,,privately held?
MVÂ Selendang Ayu,"United States, Unalaska Island, Alaska",8-Dec-04,"1,560","1,560",,,privately held?
Athos 1,"United States, Delaware River, Paulsboro, New Jersey",26-Nov-04,831,860,,,state owned - Citgo found responsible - ship struck hazard
"MP-80 Delta 20"" pipeline (Hurricane Ivan)","United States, Louisiana",16 September 2004 - 19 September 2004,963,963,,RDS-A,
"MP-69 Nakika 18"" & MP-151 Nakika 18"" pipeline (Hurricane Ivan)","United States, Louisiana",16 September 2004 - 6 October 2004,618,618,,RDS-A,
Chevron-Texaco tank collapse (Hurricane Ivan),"United States, Louisiana",16 September 2004 - 17 September 2004,423,423,,CVX,
Taylor oil spill,"United States, Gulf of Mexico near Louisiana",16 September 2004 - present,970,"490,000",Taylor Energy,,privately held
Berge Nice,"Chile, 5 miles east of Punta Delgada, Strait of Magellan",14-May-04,160,160,,,ship collision
Tasman Spirit,"Pakistan, Karachi",28-Jul-03,"28,000","30,000",Polembros Shipping,,privately held
Bouchard No. 120,"United States, Buzzards Bay, Bourne, Massachusetts",27-Apr-03,320,320,,,privately held
Prestige,"Spain, Galicia",13-Nov-02,"63,000","63,000",Mare Shipping Inc.,,privately held
Limburg (bombing),"Yemen, Gulf of Aden",6-Oct-02,"12,200","12,200",,,NMAR- terrorist attack
Manguinhos refinery,"Brazil, Guanabara Bay, Rio de Janeiro",23-Nov-01,34,97,"Peixoto de Castro, Repsol YPF",,refinery fire - refinery itself privately held?
Trans-Alaska Pipeline gunshot spill,"United States, Alaska",4-Oct-01,932,932,Alyeska Pipeline Service Company,,NMAR- a drunk guy shot the pipeline twice because he was told not to. 'Murica
Jose Fuchs,"Chile, Moraleda Channel",2001,150,150,,,privately held
Shell Ogbodo,Nigeria,25-Jun-01,"9,500","9,500",Royal Dutch Shell,RDS-A,
2001 Shell Ogoniland oil spill,Nigeria,1-May,unknown,unknown,Royal Dutch Shell,,NMAR - unknown length of spills (over long period from pipeline)
Petrobras 36,"Brazil, Roncador Oil Field, Campos Basin",15-Mar-01,274,274,,,state run
Amorgos oil spill,"Taiwan, Southern coast",14-Jan-01,"1,150","1,150",,,NMAR - little information
Jessica,"Ecuador, Galapagos Islands",1-Jan,568,568,,,state run and privately owned
Pine River,"Canada, Chetwynd, British Columbia",1-Aug-00,850,850,,PPL.TO,
Project Deep Spill,"Norway, Helland Hansen ridge",Jun-00,100,100,,,NMAR - intentional for study
Treasure,"South Africa, Cape Town",Jun-00,"1,400","1,400",,,"NMAR- little information, appears to have been cargo vessel"
Petrobras pipeline,"Brazil, Guanabara Bay, Rio de Janeiro",Jan-00,"1,100","1,100",,,NMAR- dates of incident unclear
Erika,"France, Bay of Biscay",12-Dec-99,"15,000","25,000",Total S.A.,,"privately run, multiple parties"
Chanda,"Port Stanvac, South Australia",28-Jun-99,220,230,Essar Shipping,ESSARSHPNG.NS,
MV New Carissa,"United States, Coos Bay, Oregon",4 February 1999 - 9 March 1999,230,230,,,privately held
Mobil Nigeria oil spill,Nigeria,12-Jan-98,"5,500","5,500",,,"NMAR- unable to determine if Mobil (not Exxon Mobil, as pre-merger) was publicly traded"
Nakhodka,"Japan, Sea of Japan",Dec-97,"6,240","6,240",,,NMAR- details of ownership unclear
Julie N.,"United States, Portland, Maine",27-Sep-96,586,586,,,privately held
Sea Empress,"United Kingdom, Milford Haven, Pembrokeshire",15-Feb-96,"40,000","72,000",Seatankers Management,,privately held
North Cape,"United States, Rhode Island",19-Jan-96,"2,500","2,500",,,privately held
MV Iron Baron (1985),"Hebe Reef, Tasmania",10 July 1995 - 30 July 1995,300,325,BHP Shipping,BHP,
Irene,"Namibia, near Walvis Bay",1995,700,700,,,NMAR- dates unclear
Komi oil pipeline,"Russia, Usinsk, Komi Republic",June 1994 - October 1994,"100,000","251,763",Lukoil,,NMAR- dates unclear
Apollo Sea,"South Africa, Cape Town",Jun-94,"2,400","2,400",,,privately held
Seki,United Arab Emirates,31-Mar-94,"15,900","15,900",World-Wide Shipping Agency,,privately held
Morris J. Berman,Puerto Rico,7-Jan-94,"2,600","2,600",New England Marine Services,,privately held
MVÂ Braer,"United Kingdom, Shetland",5-Jan-93,"85,000","85,000",,,privately held
Aegean Sea,"Spain, A CoruÃ±a",3-Dec-92,"74,000","74,000",Coulouthros Ltd,,privately held
"Port Bonython oil spill, Era","Australia, Spencer Gulf, South Australia",30-Aug-92,296,296,BP,BP,
Katina P,"Mozambique, Maputo",19-26 April 1992,"72,000","72,000",,,"NMAR - unclear as to ownership, presumed privately held"
Fergana Valley,Uzbekistan,2-Mar-92,"285,000","285,000",,,state run
Kirki,"Australia, Indian Ocean, off the coast of Western Australia",21-Jul-91,"17,280","17,280",BP,BP,
ABT Summer,"Angola, 700Â nmi (1,300Â km; 810Â mi) offshore",28-May-91,"260,000","260,000",National Iranian Tanker Company,,state run
MTÂ Haven,"Italy, Mediterranean Sea near Genoa",11-Apr-91,"144,000","144,000",Amoco,,"NMAR - unable to find YFinance ticker for Amoco, merged with BP later"
MBÂ Vesta Bella,", Saint Kitts and Nevis, Nevis, 12 miles northeast of island",6-Mar-91,"1,762","1,814",Offshore Marine Ltd,,privately held
Sanko Harvest,"Australia, Western Australia, near Hood Island, 33Â km from Esperance",14-Feb-91,717,717,Sanko Steamship Co,,privately held
Gulf War oil spill,"Iraq, Persian Gulf",23-Jan-91,"270,000","820,000",,,NMAR- military action
Apex barges oil spill,"United States, Texas, Houston Ship Channel near Galveston",28-Jul-90,"2,200","2,200",Apex Towing Company,,privately held
Mega Borg oil spill,"United States, Gulf of Mexico, 57Â mi (92Â km) SE of Galveston, Texas",8-Jun-90,"16,499","16,501",,,NMAR- complex facts and partial ownerships 
American Trader,"United States, Bolsa Chica State Beach, California",7-Feb-90,979,981,,,privately held
Arthur Kill pipeline,"United States, New Jersey, Sewaren",1-Jan-90,"1,840","1,840",,XOM,
Khark 5,"Spain, 350Â nmi (650Â km; 400Â mi) off Las Palmas de Gran Canaria",19-Dec-89,"70,000","80,000",,,state run
Pacificos,"South Africa, East London",4-Oct-89,"10,000","10,000",,,NMAR - details unclear
Presidente Rivera,"United States, Delaware River, Marcus Hook, Pennsylvania",24-Jun-89,993,993,,,NMAR - ownership unclear and sources behind paywall
World Prodigy,"United States, Aquidneck Island, Rhode Island",23-Jun-89,974,"3,246",,,privately held
Exxon Valdez,"United States, Prince William Sound, Alaska",24-Mar-89,"37,000","104,000",Exxon Shipping Company,XOM,
BahÃ­a ParaÃ­so,"Antarctica, Bismarck Strait",28-Jan-89,"1,200","1,200",Argentine Navy,,state run
Odyssey,"Canada, 700Â nmi (1,300Â km; 810Â mi) off Nova Scotia",10-Nov-88,"132,000","132,000",,,privately held
Ashland oil spill,"United States, Floreffe, Pennsylvania",2-Jan-88,"10,000","10,000",Ashland Oil Company,ASH,
Cabo Pilar,"Chile, Punta Davis, Strait of Magellan",8-Oct-87,"4,900","7,500",,,NMAR - ownership unclear
Ship grounding,"United States, St Johns River mouth, Florida",Feb-87,346,346,,,NMAR- ownership unclear
Tanker Barge Apex Houston,"United States, California Coast from Marin County to Big Sur, San Francisco, California",28-Jan-86,98,98,Apex Towing Company,,privately held
Nova,"Iran, Gulf of Iran, Kharg Island",6-Dec-85,"70,000","70,000",,,state run
Grand Eagle,"United States, Delaware River, Marcus Hook, Pennsylvania",28-Sep-85,"1,400","1,400",,,NMAR - ownership unclear
Coral Sea / Napo collision,Cuba,11-Apr-85,,,,,state run
Puerto Rican,"United States, Golden Gate, San Francisco, California",31-Oct-84,"3,411","4,775",,,privately held
Alvenus,"United States, Calcasieu Channel, Louisiana",30-Jul-84,"9,160","9,160",,,privately held
SS Mobil Oil,"United States, Columbia River, Longview, Washington",19-Mar-84,550,650,,,"NMAR, unable to find Mobil stock ticker symbol prior to merger"
Castillo de Bellver,"South Africa, Saldanha Bay",6-Aug-83,"252,000","252,000",,,privately held
Nowruz Field Platform,"Iran, Persian Gulf",4-Feb-83,"260,000","260,000",,,state run
Globe Asimi,"Soviet Union, Lithuanian SSR, KlaipÄ—da",21-Nov-81,"17,000","17,000",Cantabria Shipping Ltd,,privately held
Druzhba pipeline,"Czechoslovakia, BartouÅ¡ov",3-Nov-80,"6,000","6,000",,,possible industrial sabotage
Production Well D-103,"Libya, Tripoli",1-Aug-80,"140,000","140,000",,,state run
Tanio oil spill,"France, Brittany",7-Mar-80,"13,500","13,500",,,NMAR - ownership unclear
Irenes Serenade,"Greece, Pylos",23-Feb-80,"100,000","100,000",,,NMAR - ownership unclear
MTÂ IndependenÅ£a,"Turkey, Bosphorus",15-Nov-79,"95,000","95,000",,,state run
Burmah Agate,"United States, Galveston Bay, Texas",1-Nov-79,"8,440","8,440",,,NMAR - ownership unclear
Aphrodite,"Port Stanvac, South Australia",20-Jul-79,unknown,unknown,,,NMAR - size uknown
Atlantic Empress / Aegean Captain,Trinidad and Tobago,19-Jul-79,"287,000","287,000",,,privately held
Ixtoc I oil spill,"Mexico, Bay of Campeche, Gulf of Mexico",3 June 1979 - 23 March 1980,"454,000","480,000",Pemex,PMX12.SW,
Betelgeuse,"Ireland, Bantry Bay",8-Jan-79,"64,000","64,000",,,state run
Peck Slip Spill,"Puerto Rico, Cabo San Juan, Puerto Rico",19-Dec-78,"1,550","1,550",Sun Oil Company,SUN,
Cabo Tamar,"Chile, San Vincente Bay",1978,"12,500","12,500",,,NMAR - details unclear
Amoco Cadiz,"France, Brittany",16-Mar-78,"223,000","227,000",Amoco,,NMAR no Yfinance ticker for Amoco
Trans-Alaska Pipeline sabotage by explosives,"United States, Alaska",15-Feb-78,"2,162","2,162",,,NMAR- sabotage
Brazilian Marina,"Brazil, Sao Sebastiao Channel, SÃ£o Paulo",9-Jan-78,"10,039","10,039",,,NMAR - details unclear
Venpet / Venoil collision,"South Africa, Cape St. Francis",16-Dec-77,"26,600","30,500",,,NMAR- stock ticker for Bethelem Steel Corp not found in YFinance
Unknown ship,"United States, Key Largo, Florida",1-May-77,,,,,NMAR- details unclear
Ekofisk oil field,"Norway, North Sea",22-Apr-77,"27,600","27,600",,COP,
MVÂ Hawaiian Patriot,"United States, 300Â nmi (560Â km; 350Â mi) off Honolulu, Hawaii",26-Feb-77,"95,000","95,000",,,privately held
Borag,"Taiwan, Northern coast",7-Feb-77,"34,000","34,000",,,NMAR - details unclear and behind paywall
Argo Merchant,"United States, Nantucket Island, Massachusetts",15-Dec-76,"25,000","28,000",,,privately held
NEPCO 140,"United States, Saint Lawrence River",23-Jun-76,"1,000","1,000",,,privately held
Urquiola,"Spain, A CoruÃ±a",12-May-76,"100,000","100,000",,,NMAR - ownership unclear
St. Peter,"Colombia, Cabo Manglares",5 February-November 1976,"38,056","38,056",,,NMAR - ownership unclear
Niger Delta,"Nigeria, Niger Delta",1976 - 1996,"258,000","328,000",Royal Dutch Shell,,NMAR - too significant span of time rather than discrete incident
Olympic Bravery,"France, Ushant",24-Jan-76,900,900,Onassis,,NMAR - cannot locate stock symbol for that period (if company was public at all)
Epic Colocotronis Spill,"Puerto Rico, Rincon, Puerto Rico",13-May-75,"61,000","61,000",Colocotronis brothers of Greece and Great Britain,,NMAR - ownership unclear
Tarik Ibn Ziyad,"Brazil, Sao Sebastiao terminal, Santos",26-Mar-75,"10,000","20,000",,,NMAR - ownership unclear
Liberian tanker,"United States, Florida",1975,135,135,,,NMAR - responsible ship unknown
Corinthos,"United States, Delaware River, Marcus Hook, Pennsylvania",31-Jan-75,"36,000","36,000",,,privately held
Jakob Maersk,"Portugal, Oporto",29-Jan-75,"88,000","88,000",,,privately held but contracted by RDS
Afran Zodiac,"Ireland, Bantry Bay",10-Jan-75,451,451,,,privately held
VLCC Metula,"Chile, Strait of Magellan",9-Aug-74,"50,000","51,000",,RDS-A,ship operated by Shell subsidiary
Oriental Pioneer,"South Africa, Struisbaai",22-Jul-74,200,200,,,NMAR - ownership unclear
Jawachta,"Sweden, Smygehuk",20-Dec-73,"3,000","16,000",,,NMAR - details unclear and behind paywall
Trinimar Marine Well 327,"Venezuela, Gulf of Paria",8-Aug-73,"1,091","1,091",,,state run
Napier,"Chile, Guamblin Island",Jun-73,"30,000","30,000",,,NMAR- details unclear (article without translation)
S.S. Zoe Colocotronis Spill,"Puerto Rico, Lajas, Puerto Rico",18-Mar-73,"5,170","5,170",Colocotronis brothers of Greece and Great Britain,,privately held
Irish Stardust,"Canada, Vancouver Island, British Columbia",Jan-73,450,450,,,state run
Sea Star,"Iran, Gulf of Oman",19-Dec-72,"115,000","115,000",Samyang Navigation,,privately held
Oswego-Guardian / Texanita collision,"South Africa, Stilbaai",21-Aug-72,"10,000","10,000",,,NMAR- ownership of both vessels unclear
Texaco Denmark,"Belgium, North Sea",7-Dec-71,"107,000","107,000",,,"NMAR - no Yfinance stock ticker for Texaco, of which tanker operator was subsidiary"
Navy tanker Towle,"United States, New York City, New York, Gravesend Bay",14-Jul-71,123,123,,,state run
Texaco Oklahoma,United States,27-Mar-71,"25,700","31,500",,,NMAR - no Yfinance stock ticker for Texaco
Trinity Navigator,"United Kingdom, Devonshire",2-Mar-71,unknown,unknown,,,NMAR- amount unclear
Wafra,"South Africa, Cape Agulhas",21-Feb-71,"27,000","27,000",,,privately held
Arizona Standard / Oregon Standard collision,"United States, San Francisco Bay",17-Jan-71,"2,700","2,700",,,NMAR - no Yfinance stock ticker for Standard Oil of California
Othello,"Sweden, TrÃ¤lhavet Bay",20-Mar-70,"50,000","60,000",,,NMAR - owner unclear
Platform Charlie,"United States, Louisiana",10-Feb-70,unknown,unknown,,CVX,
SS Arrow,"Canada, Chedabucto Bay, Nova Scotia",4-Feb-70,"10,330","10,330",,,privately held
Hamilton Trader,"United Kingdom, Liverpool Bay, Irish Sea",30-Apr-69,546,546,,,NMAR - stock ticker unclear for Esso at time
Santa Barbara,"United States, Santa Barbara, California",28-Jan-69,"6,000","14,000",,,NMAR - no Yfinance stock ticker for Union Oil
Witwater,"Panama, Canal Zone, Galeta Island",13-Dec-68,"1,910","1,910",,,privately held
